scenario,crop,hazard,gcm,value,n_years,period,complete_period
ssp126,maiz,dry,CNRM-CM6-1,2.223667170150841,31,2070-2100,True
ssp126,maiz,dry,CNRM-ESM2-1,2.4062891995091324,31,2070-2100,True
ssp126,maiz,dry,CanESM5,1.7685511120416728,31,2070-2100,True
ssp126,maiz,dry,EC-Earth3,1.8252386666786315,31,2070-2100,True
ssp126,maiz,dry,GFDL-ESM4,1.8857332606716808,31,2070-2100,True
ssp126,maiz,dry,IPSL-CM6A-LR,1.3856235301108557,31,2070-2100,True
ssp126,maiz,dry,MIROC6,2.2407120638246023,31,2070-2100,True
ssp126,maiz,dry,MPI-ESM1-2-HR,1.8419845772636736,31,2070-2100,True
ssp126,maiz,dry,MRI-ESM2-0,1.8125740643410209,31,2070-2100,True
ssp126,maiz,dry,UKESM1-0-LL,2.4528641651156606,31,2070-2100,True
ssp126,maiz,wet,CNRM-CM6-1,1.4319130189394662,31,2070-2100,True
ssp126,maiz,wet,CNRM-ESM2-1,1.4619579877119315,31,2070-2100,True
ssp126,maiz,wet,CanESM5,1.607748943188599,31,2070-2100,True
ssp126,maiz,wet,EC-Earth3,1.7011172670411192,31,2070-2100,True
ssp126,maiz,wet,GFDL-ESM4,1.6455342007723093,31,2070-2100,True
ssp126,maiz,wet,IPSL-CM6A-LR,1.6424576167398484,31,2070-2100,True
ssp126,maiz,wet,MIROC6,1.5445934877924898,31,2070-2100,True
ssp126,maiz,wet,MPI-ESM1-2-HR,1.6038331664588705,31,2070-2100,True
ssp126,maiz,wet,MRI-ESM2-0,1.4872616141188204,31,2070-2100,True
ssp126,maiz,wet,UKESM1-0-LL,1.479294716649956,31,2070-2100,True
ssp126,rice,dry,CNRM-CM6-1,1.7197869167760376,31,2070-2100,True
ssp126,rice,dry,CNRM-ESM2-1,1.7665217973197238,31,2070-2100,True
ssp126,rice,dry,CanESM5,1.5212117197197532,31,2070-2100,True
ssp126,rice,dry,EC-Earth3,1.3548597043131816,31,2070-2100,True
ssp126,rice,dry,GFDL-ESM4,1.714404924629621,31,2070-2100,True
ssp126,rice,dry,IPSL-CM6A-LR,1.4148167161881318,31,2070-2100,True
ssp126,rice,dry,MIROC6,1.5958929805628417,31,2070-2100,True
ssp126,rice,dry,MPI-ESM1-2-HR,1.5790157285045163,31,2070-2100,True
ssp126,rice,dry,MRI-ESM2-0,1.6290317589459293,31,2070-2100,True
ssp126,rice,dry,UKESM1-0-LL,1.6730182215688096,31,2070-2100,True
ssp126,rice,wet,CNRM-CM6-1,5.79762250772463,31,2070-2100,True
ssp126,rice,wet,CNRM-ESM2-1,5.542553209767145,31,2070-2100,True
ssp126,rice,wet,CanESM5,5.849419802113286,31,2070-2100,True
ssp126,rice,wet,EC-Earth3,5.695855526541701,31,2070-2100,True
ssp126,rice,wet,GFDL-ESM4,5.636667597626699,31,2070-2100,True
ssp126,rice,wet,IPSL-CM6A-LR,5.77133740966238,31,2070-2100,True
ssp126,rice,wet,MIROC6,6.183126721375622,31,2070-2100,True
ssp126,rice,wet,MPI-ESM1-2-HR,6.089635648212917,31,2070-2100,True
ssp126,rice,wet,MRI-ESM2-0,5.318324503983861,31,2070-2100,True
ssp126,rice,wet,UKESM1-0-LL,5.915144348020066,31,2070-2100,True
ssp126,soyb,dry,CNRM-CM6-1,2.0676887951448832,31,2070-2100,True
ssp126,soyb,dry,CNRM-ESM2-1,2.035949670004213,31,2070-2100,True
ssp126,soyb,dry,CanESM5,1.6649414294070508,31,2070-2100,True
ssp126,soyb,dry,EC-Earth3,1.3858170966190626,31,2070-2100,True
ssp126,soyb,dry,GFDL-ESM4,1.5934261131724337,31,2070-2100,True
ssp126,soyb,dry,IPSL-CM6A-LR,0.9121701263563152,31,2070-2100,True
ssp126,soyb,dry,MIROC6,2.0658198333279185,31,2070-2100,True
ssp126,soyb,dry,MPI-ESM1-2-HR,1.5943643745983502,31,2070-2100,True
ssp126,soyb,dry,MRI-ESM2-0,1.43426816893211,31,2070-2100,True
ssp126,soyb,dry,UKESM1-0-LL,2.3713043945922276,31,2070-2100,True
ssp126,soyb,wet,CNRM-CM6-1,1.0100650316105002,31,2070-2100,True
ssp126,soyb,wet,CNRM-ESM2-1,1.090771816016957,31,2070-2100,True
ssp126,soyb,wet,CanESM5,1.0591276824976228,31,2070-2100,True
ssp126,soyb,wet,EC-Earth3,1.2200836613938388,31,2070-2100,True
ssp126,soyb,wet,GFDL-ESM4,1.189416597526083,31,2070-2100,True
ssp126,soyb,wet,IPSL-CM6A-LR,1.1927805479680804,31,2070-2100,True
ssp126,soyb,wet,MIROC6,1.063196275635846,31,2070-2100,True
ssp126,soyb,wet,MPI-ESM1-2-HR,1.110789173205037,31,2070-2100,True
ssp126,soyb,wet,MRI-ESM2-0,1.0851918319192884,31,2070-2100,True
ssp126,soyb,wet,UKESM1-0-LL,1.0724393659823905,31,2070-2100,True
ssp126,whea,dry,CNRM-CM6-1,4.080150334277543,31,2070-2100,True
ssp126,whea,dry,CNRM-ESM2-1,3.6515641803835943,31,2070-2100,True
ssp126,whea,dry,CanESM5,2.96619225719812,31,2070-2100,True
ssp126,whea,dry,EC-Earth3,2.8758993839778135,31,2070-2100,True
ssp126,whea,dry,GFDL-ESM4,3.54540534264781,31,2070-2100,True
ssp126,whea,dry,IPSL-CM6A-LR,2.9570934716211523,31,2070-2100,True
ssp126,whea,dry,MIROC6,4.522913430662431,31,2070-2100,True
ssp126,whea,dry,MPI-ESM1-2-HR,3.477136201019023,31,2070-2100,True
ssp126,whea,dry,MRI-ESM2-0,4.1043154932971335,31,2070-2100,True
ssp126,whea,dry,UKESM1-0-LL,4.317377640895527,31,2070-2100,True
ssp126,whea,wet,CNRM-CM6-1,0.4123632656185509,31,2070-2100,True
ssp126,whea,wet,CNRM-ESM2-1,0.41669008774383676,31,2070-2100,True
ssp126,whea,wet,CanESM5,0.38938285373863085,31,2070-2100,True
ssp126,whea,wet,EC-Earth3,0.44752120365674586,31,2070-2100,True
ssp126,whea,wet,GFDL-ESM4,0.37868009137994657,31,2070-2100,True
ssp126,whea,wet,IPSL-CM6A-LR,0.36090833481792506,31,2070-2100,True
ssp126,whea,wet,MIROC6,0.3405829476439042,31,2070-2100,True
ssp126,whea,wet,MPI-ESM1-2-HR,0.3786160687925303,31,2070-2100,True
ssp126,whea,wet,MRI-ESM2-0,0.4142619919041985,31,2070-2100,True
ssp126,whea,wet,UKESM1-0-LL,0.3781967685682635,31,2070-2100,True
ssp585,maiz,dry,CNRM-CM6-1,2.797949176936933,31,2070-2100,True
ssp585,maiz,dry,CNRM-ESM2-1,2.633092162152583,31,2070-2100,True
ssp585,maiz,dry,CanESM5,2.697917860059446,31,2070-2100,True
ssp585,maiz,dry,EC-Earth3,2.4542913134647515,31,2070-2100,True
ssp585,maiz,dry,GFDL-ESM4,2.4780362767846937,31,2070-2100,True
ssp585,maiz,dry,IPSL-CM6A-LR,3.1912428749387014,31,2070-2100,True
ssp585,maiz,dry,MIROC6,2.584424500540553,31,2070-2100,True
ssp585,maiz,dry,MPI-ESM1-2-HR,2.691095373897419,31,2070-2100,True
ssp585,maiz,dry,MRI-ESM2-0,2.2071633174059544,31,2070-2100,True
ssp585,maiz,dry,UKESM1-0-LL,3.237821227796961,31,2070-2100,True
ssp585,maiz,wet,CNRM-CM6-1,1.2097823573683124,31,2070-2100,True
ssp585,maiz,wet,CNRM-ESM2-1,1.262611051168859,31,2070-2100,True
ssp585,maiz,wet,CanESM5,1.4658570630870649,31,2070-2100,True
ssp585,maiz,wet,EC-Earth3,1.5036897756657273,31,2070-2100,True
ssp585,maiz,wet,GFDL-ESM4,1.2076335915032161,31,2070-2100,True
ssp585,maiz,wet,IPSL-CM6A-LR,1.296383358607799,31,2070-2100,True
ssp585,maiz,wet,MIROC6,1.2979914179062886,31,2070-2100,True
ssp585,maiz,wet,MPI-ESM1-2-HR,1.4857219404779982,31,2070-2100,True
ssp585,maiz,wet,MRI-ESM2-0,1.1867001448710164,31,2070-2100,True
ssp585,maiz,wet,UKESM1-0-LL,1.2226955438993934,31,2070-2100,True
ssp585,rice,dry,CNRM-CM6-1,1.6164121000066922,31,2070-2100,True
ssp585,rice,dry,CNRM-ESM2-1,1.5390840728369555,31,2070-2100,True
ssp585,rice,dry,CanESM5,1.3227902066779782,31,2070-2100,True
ssp585,rice,dry,EC-Earth3,1.156490862844578,31,2070-2100,True
ssp585,rice,dry,GFDL-ESM4,1.3939652836663372,31,2070-2100,True
ssp585,rice,dry,IPSL-CM6A-LR,1.544029841261477,31,2070-2100,True
ssp585,rice,dry,MIROC6,1.3180682507075334,31,2070-2100,True
ssp585,rice,dry,MPI-ESM1-2-HR,1.266961562694132,31,2070-2100,True
ssp585,rice,dry,MRI-ESM2-0,1.3185751899328215,31,2070-2100,True
ssp585,rice,dry,UKESM1-0-LL,1.4390593839562793,31,2070-2100,True
ssp585,rice,wet,CNRM-CM6-1,5.208234850437581,31,2070-2100,True
ssp585,rice,wet,CNRM-ESM2-1,5.343237210076974,31,2070-2100,True
ssp585,rice,wet,CanESM5,6.048348140757738,31,2070-2100,True
ssp585,rice,wet,EC-Earth3,6.524257992836795,31,2070-2100,True
ssp585,rice,wet,GFDL-ESM4,5.2048883893011535,31,2070-2100,True
ssp585,rice,wet,IPSL-CM6A-LR,6.0967189336373595,31,2070-2100,True
ssp585,rice,wet,MIROC6,6.4170762702622515,31,2070-2100,True
ssp585,rice,wet,MPI-ESM1-2-HR,6.711461433033736,31,2070-2100,True
ssp585,rice,wet,MRI-ESM2-0,5.26729950426028,31,2070-2100,True
ssp585,rice,wet,UKESM1-0-LL,5.1658248146062355,31,2070-2100,True
ssp585,soyb,dry,CNRM-CM6-1,2.0816430526375247,31,2070-2100,True
ssp585,soyb,dry,CNRM-ESM2-1,2.072220278146762,31,2070-2100,True
ssp585,soyb,dry,CanESM5,2.1458717085145804,31,2070-2100,True
ssp585,soyb,dry,EC-Earth3,1.724447797434326,31,2070-2100,True
ssp585,soyb,dry,GFDL-ESM4,1.9400713359163269,31,2070-2100,True
ssp585,soyb,dry,IPSL-CM6A-LR,2.409245469127103,31,2070-2100,True
ssp585,soyb,dry,MIROC6,2.132947682832517,31,2070-2100,True
ssp585,soyb,dry,MPI-ESM1-2-HR,2.6192222076923373,31,2070-2100,True
ssp585,soyb,dry,MRI-ESM2-0,1.3216932054732013,31,2070-2100,True
ssp585,soyb,dry,UKESM1-0-LL,2.821961992248202,31,2070-2100,True
ssp585,soyb,wet,CNRM-CM6-1,0.9520458460885732,31,2070-2100,True
ssp585,soyb,wet,CNRM-ESM2-1,1.0555247093250646,31,2070-2100,True
ssp585,soyb,wet,CanESM5,1.042709942287769,31,2070-2100,True
ssp585,soyb,wet,EC-Earth3,1.1629010760535947,31,2070-2100,True
ssp585,soyb,wet,GFDL-ESM4,0.9336533759019167,31,2070-2100,True
ssp585,soyb,wet,IPSL-CM6A-LR,0.9251351903970229,31,2070-2100,True
ssp585,soyb,wet,MIROC6,0.9790620898886863,31,2070-2100,True
ssp585,soyb,wet,MPI-ESM1-2-HR,1.017991371283198,31,2070-2100,True
ssp585,soyb,wet,MRI-ESM2-0,0.9399680219566927,31,2070-2100,True
ssp585,soyb,wet,UKESM1-0-LL,1.0331211715395354,31,2070-2100,True
ssp585,whea,dry,CNRM-CM6-1,4.632009079506518,31,2070-2100,True
ssp585,whea,dry,CNRM-ESM2-1,4.093659781465261,31,2070-2100,True
ssp585,whea,dry,CanESM5,3.724880725721324,31,2070-2100,True
ssp585,whea,dry,EC-Earth3,2.997816990184393,31,2070-2100,True
ssp585,whea,dry,GFDL-ESM4,3.814451699763765,31,2070-2100,True
ssp585,whea,dry,IPSL-CM6A-LR,5.78897936412806,31,2070-2100,True
ssp585,whea,dry,MIROC6,5.47874212034264,31,2070-2100,True
ssp585,whea,dry,MPI-ESM1-2-HR,4.543031750122014,31,2070-2100,True
ssp585,whea,dry,MRI-ESM2-0,4.326033570452841,31,2070-2100,True
ssp585,whea,dry,UKESM1-0-LL,6.109714280568263,31,2070-2100,True
ssp585,whea,wet,CNRM-CM6-1,0.352595402291133,31,2070-2100,True
ssp585,whea,wet,CNRM-ESM2-1,0.39167589240543177,31,2070-2100,True
ssp585,whea,wet,CanESM5,0.30756782617441564,31,2070-2100,True
ssp585,whea,wet,EC-Earth3,0.4412241440516758,31,2070-2100,True
ssp585,whea,wet,GFDL-ESM4,0.28074282076482987,31,2070-2100,True
ssp585,whea,wet,IPSL-CM6A-LR,0.3153646834726415,31,2070-2100,True
ssp585,whea,wet,MIROC6,0.31453538187376995,31,2070-2100,True
ssp585,whea,wet,MPI-ESM1-2-HR,0.29738154171874503,31,2070-2100,True
ssp585,whea,wet,MRI-ESM2-0,0.36251408686715075,31,2070-2100,True
ssp585,whea,wet,UKESM1-0-LL,0.31103880119200794,31,2070-2100,True
